name,mana_cost,card_type,power,card_text,artist,collection,lowPrice,highPrice,front_image,back_image
Keeper of the Secret Lair,{1}{U},Legendary Creature — Merfolk Rogue,2/1,Flash You may cast Secret Lair spells as though they had flash. Secret Lair spells you cast cost {1} less to cast.,Brigitte Roka,2019 Heroes of the Realm,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/0/5/05c4e808-8d87-4d25-b893-d6e56b4c98e9.png?1619720364,-
War of the Spark,{3}{B},Enchantment — Saga,-,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — Each player may put a planeswalker or Zombie card from War of the Spark from their hand or graveyard onto the battlefield. II — Sacrifice any number of creatures and/or planeswalkers. Each opponent sacrifices that many creatures and/or planeswalkers. III — Exile up to one target Bolas. Proliferate three times.",Chris Seaman,2019 Heroes of the Realm,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/2/9/29fc560d-8ba3-4e6c-99df-08d034025131.png?1619720389,-
Champions of Archery // Join the Group,{3}{R} // {2}{R},Legendary Creature — Human Archer // Sorcery — Adventure,1/4,"Reach Commanders you control get +X/+0, where X is the number of Commanders you control.",Donato Giancola,2019 Heroes of the Realm,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/4/a/4ae9da8c-0189-4474-ae3c-aca3fae6bea3.png?1619720422,https://c1.scryfall.com/file/scryfall-cards/png/back/4/a/4ae9da8c-0189-4474-ae3c-aca3fae6bea3.png?1619720422
"Myntasha, Honored One",{2}{G}{G},Legendary Snow Creature — Elk,3/3,"As an additional cost to cast this spell, you may open a sealed Magic booster pack and put the cards on the bottom of your booster pile in a random order. Spells you cast have booster cascade. (It's like cascade, but use your booster pile rather than your library.)",Liiga Smilshkalne,2019 Heroes of the Realm,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/d/7/d7e57d2f-141f-461a-8f5a-4cec3020442e.png?1625868476,-
The Cinematic Phoenix,{3}{B}{R},Legendary Creature — Phoenix,4/4,"Flying, haste, protection from red {1}, {T}: Return target legendary creature card from your graveyard to the battlefield. Tap six untapped creatures you control: Return The Cinematic Phoenix from your graveyard to the battlefield. If you tapped six legendary creatures this way, you win the game.",Chuck Lukacs,2019 Heroes of the Realm,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/6/7/6799b986-0c07-4082-8b5c-f28bddc42ee9.png?1621566262,-
Fabled Path of Searo Point,-,Legendary Land — Mountain,-,"{W}{U}{B}{R}{G}, {T}: Creatures you control gain landwalk until end of turn.",Tom Wänerstrand,2019 Heroes of the Realm,-,-,https://c1.scryfall.com/file/scryfall-cards/png/front/3/7/3729066c-4f63-47ca-8e2d-41c8bf8eb7c4.png?1621566257,-
Blessed Sanctuary,{3}{W}{W},Enchantment,-,"Prevent all noncombat damage that would be dealt to you and creatures you control. Whenever a nontoken creature enters the battlefield under your control, create a 2/2 white Unicorn creature token.",Anastasia Ovchinnikova,Jumpstart,0.84,0.84,https://c1.scryfall.com/file/scryfall-cards/png/front/f/f/ff80029e-650e-469d-8393-0edf7d9cd695.png?1632261678,-
Brightmare,{2}{W},Creature — Unicorn,2/3,"When Brightmare enters the battlefield, tap up to one target creature. You gain life equal to that creature's power.",Steven Belledin,Jumpstart,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/0/f/0fc18921-59f5-413f-a221-dc47d31b2ec8.png?1632261683,-
Emiel the Blessed,{2}{W}{W},Legendary Creature — Unicorn,4/4,"{3}: Exile another target creature you control, then return it to the battlefield under its owner's control. Whenever another creature enters the battlefield under your control, you may pay {G/W}. If you do, put a +1/+1 counter on it. If it's a Unicorn, put two +1/+1 counters on it instead. ({G/W} can be paid with either {G} or {W}.)",Antonio José Manzanedo,Jumpstart,14.3,14.3,https://c1.scryfall.com/file/scryfall-cards/png/front/f/7/f74dfd07-d17c-4890-82c3-4b12a6029940.png?1632261688,-
Release the Dogs,{3}{W},Sorcery,-,Create four 1/1 white Dog creature tokens.,Jason Kang,Jumpstart,0.14,0.14,https://c1.scryfall.com/file/scryfall-cards/png/front/7/d/7df3cd89-02c9-4a1c-9a8a-d17a0b1030c9.png?1632261693,-
Steel-Plume Marshal,{3}{W}{W},Creature — Bird Soldier,3/3,"Flying Whenever Steel-Plume Marshal attacks, other attacking creatures you control with flying get +2/+2 until end of turn.",Cristi Balanescu,Jumpstart,0.21,0.21,https://c1.scryfall.com/file/scryfall-cards/png/front/d/d/ddbcb165-0a60-493a-8cbb-ba8b36c527da.png?1632261698,-
Stone Haven Pilgrim,{1}{W},Creature — Kor Cleric,2/2,"Whenever Stone Haven Pilgrim attacks, if you control an artifact or enchantment, Stone Haven Pilgrim gets +1/+1 and gains lifelink until end of turn.",Cristi Balanescu,Jumpstart,0.05,0.05,https://c1.scryfall.com/file/scryfall-cards/png/front/5/c/5cd3287d-e4d8-4670-a2dd-b683055ae4b9.png?1632261705,-
Supply Runners,{4}{W},Creature — Dog,2/2,"When Supply Runners enters the battlefield, put a +1/+1 counter on each other creature you control.",Chris Seaman,Jumpstart,0.18,0.18,https://c1.scryfall.com/file/scryfall-cards/png/front/f/8/f8c10c77-1446-4581-9587-dc2860fe78fe.png?1632261708,-
Trusty Retriever,{3}{W},Creature — Dog,2/3,"When Trusty Retriever enters the battlefield, choose one —",Return target artifact or enchantment card from your graveyard to your hand.,Jumpstart,0.08,0.08,https://c1.scryfall.com/file/scryfall-cards/png/front/a/b/ab4eb490-acd0-4162-8e8a-7e7ff003d0f3.png?1632261713,-
Archaeomender,{2}{U},Creature — Human Wizard,2/3,"When Archaeomender enters the battlefield, return target artifact card from your graveyard to your hand.",Miranda Meeks,Jumpstart,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/2/2/22bb8779-ac19-43d6-b818-86eb8ee2f87d.png?1632261743,-
Bruvac the Grandiloquent,{2}{U},Legendary Creature — Human Advisor,1/4,"If an opponent would mill one or more cards, they mill twice that many cards instead. (To mill a card, a player puts the top card of their library into their graveyard.)",Ekaterina Burmak,Jumpstart,15.99,15.99,https://c1.scryfall.com/file/scryfall-cards/png/front/5/b/5b43bdc7-e49e-4848-9101-6cad2ecab4dc.png?1632261753,-
Corsair Captain,{2}{U},Creature — Human Pirate,2/2,"When Corsair Captain enters the battlefield, create a Treasure token. (It's an artifact with ""{T}, Sacrifice this artifact: Add one mana of any color."") Other Pirates you control get +1/+1.",Victor Adame Minguez,Jumpstart,0.87,0.87,https://c1.scryfall.com/file/scryfall-cards/png/front/a/9/a9b016d4-ddf6-47d6-b934-a0b979b60680.png?1632261757,-
"Inniaz, the Gale Force",{3}{U}{U},Legendary Creature — Djinn,4/4,"Flying {2}{W/U}: Attacking creatures with flying get +1/+1 until end of turn. ({W/U} can be paid with either {W} or {U}.) Whenever three or more creatures you control with flying attack, each player gains control of a nonland permanent of your choice controlled by the player to their right.",Livia Prima,Jumpstart,0.21,0.21,https://c1.scryfall.com/file/scryfall-cards/png/front/b/2/b238485f-ef67-4295-892b-a10235368f74.png?1632261762,-
"Ormos, Archive Keeper",{4}{U}{U},Legendary Creature — Sphinx,5/5,"Flying If you would draw a card while your library has no cards in it, instead put five +1/+1 counters on Ormos, Archive Keeper. {1}{U}{U}, Discard three cards with different names: Draw five cards.",G-host Lee,Jumpstart,0.29,0.29,https://c1.scryfall.com/file/scryfall-cards/png/front/7/1/711412f1-9ab3-48b6-91a4-77232b416a32.png?1632261767,-
Scholar of the Lost Trove,{5}{U}{U},Creature — Sphinx,5/5,"Flying When Scholar of the Lost Trove enters the battlefield, you may cast target instant, sorcery, or artifact card from your graveyard without paying its mana cost. If an instant or sorcery spell cast this way would be put into your graveyard this turn, exile it instead.",Volkan Baǵa,Jumpstart,0.38,0.38,https://c1.scryfall.com/file/scryfall-cards/png/front/a/a/aa254a86-3c30-408d-9c14-befd472f9740.png?1632261772,-
"Kels, Fight Fixer",{2}{B}{B},Legendary Creature — Azra Warlock,4/3,"Menace Whenever you sacrifice a creature, you may pay {U/B}. If you do, draw a card. ({U/B} can be paid with either {U} or {B}.) {1}, Sacrifice a creature: Kels, Fight Fixer gains indestructible until end of turn.",Magali Villeneuve,Jumpstart,0.61,0.61,https://c1.scryfall.com/file/scryfall-cards/png/front/b/7/b70d445b-d3d6-4f7c-b9ea-bed6a26d4a2a.png?1632261776,-
Nocturnal Feeder,{2}{B},Creature — Vampire Rogue,2/1,"Flying When Nocturnal Feeder dies, each opponent loses 2 life and you gain 2 life.",Cristi Balanescu,Jumpstart,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/4/8/487aced8-e018-4c93-8e13-bb68b43096a4.png?1632261781,-
"Tinybones, Trinket Thief",{1}{B},Legendary Creature — Skeleton Rogue,1/2,"At the beginning of each end step, if an opponent discarded a card this turn, you draw a card and you lose 1 life. {4}{B}{B}: Each opponent with no cards in hand loses 10 life.",Jason Rainville,Jumpstart,15.63,15.63,https://c1.scryfall.com/file/scryfall-cards/png/front/4/0/4063be5b-bfd9-43c5-bc39-09a40bc793bf.png?1632261785,-
Witch of the Moors,{3}{B}{B},Creature — Human Warlock,4/4,"Deathtouch At the beginning of your end step, if you gained life this turn, each opponent sacrifices a creature and you return up to one target creature card from your graveyard to your hand.",Caio Monteiro,Jumpstart,3.77,3.77,https://c1.scryfall.com/file/scryfall-cards/png/front/f/4/f484f19a-0121-4173-a70b-6698cc5f6303.png?1632261791,-
Chained Brute,{1}{R},Creature — Devil,4/3,"Chained Brute doesn't untap during your untap step. {1}, Sacrifice another creature: Untap Chained Brute. Activate only during your turn.",Dan Scott,Jumpstart,0.03,0.03,https://c1.scryfall.com/file/scryfall-cards/png/front/1/d/1d4e5c23-3a7f-4a6b-99c4-6a1487a9b097.png?1632261821,-
Immolating Gyre,{4}{R}{R},Sorcery,-,"Immolating Gyre deals X damage to each creature and planeswalker you don't control, where X is the number of instant and sorcery cards in your graveyard.",Campbell White,Jumpstart,0.89,0.89,https://c1.scryfall.com/file/scryfall-cards/png/front/b/d/bd0b8aee-fbfb-470f-9ac2-64fce0b4b2fb.png?1632261825,-
Lightning Phoenix,{2}{R},Creature — Phoenix,2/2,"Flying, haste Lightning Phoenix can't block. At the beginning of your end step, if an opponent was dealt 3 or more damage this turn, you may pay {R}. If you do, return Lightning Phoenix from your graveyard to the battlefield.",Lie Setiawan,Jumpstart,0.2,0.2,https://c1.scryfall.com/file/scryfall-cards/png/front/b/5/b52a3f11-6d55-4492-9a2c-c128c09b3d77.png?1632261830,-
Lightning Visionary,{1}{R},Creature — Minotaur Shaman,2/1,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)",Bryan Sola,Jumpstart,0.01,0.01,https://c1.scryfall.com/file/scryfall-cards/png/front/a/f/af648aaf-a8e0-4291-acf9-5f8533728f92.png?1632261835,-
Living Lightning,{3}{R},Creature — Elemental Shaman,3/2,"When Living Lightning dies, return target instant or sorcery card from your graveyard to your hand.",Caio Monteiro,Jumpstart,0.06,0.06,https://c1.scryfall.com/file/scryfall-cards/png/front/7/e/7e84379a-369e-4a9f-8c8b-bf47ab524c4e.png?1632261839,-
"Muxus, Goblin Grandee",{4}{R}{R},Legendary Creature — Goblin Noble,4/4,"When Muxus, Goblin Grandee enters the battlefield, reveal the top six cards of your library. Put all Goblin creature cards with mana value 5 or less from among them onto the battlefield and the rest on the bottom of your library in a random order. Whenever Muxus attacks, it gets +1/+1 until end of turn for each other Goblin you control.",Dmitry Burmak,Jumpstart,7.72,7.72,https://c1.scryfall.com/file/scryfall-cards/png/front/2/c/2c716d10-2130-43b7-a939-349d437e1091.png?1618519471,-
"Sethron, Hurloon General",{3}{R}{R},Legendary Creature — Minotaur Warrior,4/4,"Whenever Sethron, Hurloon General or another nontoken Minotaur enters the battlefield under your control, create a 2/3 red Minotaur creature token. {2}{B/R}: Minotaurs you control get +1/+0 and gain menace and haste until end of turn. ({B/R} can be paid with either {B} or {R}.)",Jason Rainville,Jumpstart,0.34,0.34,https://c1.scryfall.com/file/scryfall-cards/png/front/2/7/274cdb39-1454-4c9b-acd8-4f762a48e71f.png?1632261849,-
Spiteful Prankster,{2}{R},Creature — Devil,3/2,"As long as it's your turn, Spiteful Prankster has first strike. Whenever another creature dies, Spiteful Prankster deals 1 damage to target player or planeswalker.",Antonio José Manzanedo,Jumpstart,0.37,0.37,https://c1.scryfall.com/file/scryfall-cards/png/front/d/5/d59ee7a6-3dfa-44c7-8f00-0183137c4d31.png?1632261854,-
"Zurzoth, Chaos Rider",{2}{R},Legendary Creature — Devil,2/3,"Whenever an opponent draws their first card each turn, if it's not their turn, you create a 1/1 red Devil creature token with ""When this creature dies, it deals 1 damage to any target."" Whenever one or more Devils you control attack one or more players, you and those players each draw a card, then discard a card at random.",Dmitry Burmak,Jumpstart,0.54,0.54,https://c1.scryfall.com/file/scryfall-cards/png/front/3/d/3d94b4c3-7944-41b6-8c92-78fd6e50658d.png?1632261859,-
Allosaurus Shepherd,{G},Creature — Elf Shaman,1/1,"Allosaurus Shepherd can't be countered. Green spells you control can't be countered. {4}{G}{G}: Until end of turn, each Elf creature you control has base power and toughness 5/5 and becomes a Dinosaur in addition to its other creature types.",Randy Vargas,Jumpstart,62.5,62.5,https://c1.scryfall.com/file/scryfall-cards/png/front/0/e/0ee4a931-5d61-49ba-affc-f022263938ca.png?1609798819,-
Branching Evolution,{2}{G},Enchantment,-,"If one or more +1/+1 counters would be put on a creature you control, twice that many +1/+1 counters are put on that creature instead.",Tomasz Jedruszek,Jumpstart,9.26,9.26,https://c1.scryfall.com/file/scryfall-cards/png/front/4/a/4a6971ad-cbb4-4f66-9bc4-b407c5805e85.png?1632261893,-
Neyith of the Dire Hunt,{2}{G}{G},Legendary Creature — Human Warrior,3/3,"Whenever one or more creatures you control fight or become blocked, draw a card. At the beginning of combat on your turn, you may pay {2}{R/G}. If you do, double target creature's power until end of turn. That creature must be blocked this combat if able. ({R/G} can be paid with either {R} or {G}.)",Magali Villeneuve,Jumpstart,2.72,2.72,https://c1.scryfall.com/file/scryfall-cards/png/front/0/c/0c1eed0f-9692-44c0-b1ad-afa691165d52.png?1632261896,-
Towering Titan,{4}{G}{G},Creature — Giant,0/0,"Towering Titan enters the battlefield with X +1/+1 counters on it, where X is the total toughness of other creatures you control. Sacrifice a creature with defender: All creatures gain trample until end of turn.",Victor Adame Minguez,Jumpstart,1.47,1.47,https://c1.scryfall.com/file/scryfall-cards/png/front/a/2/a2c3eac5-3354-44ce-97c2-bafce78433ca.png?1632261901,-
Lightning-Core Excavator,{1},Artifact Creature — Golem,0/3,"{5}, {T}, Sacrifice Lightning-Core Excavator: It deals 3 damage to any target.",Cristi Balanescu,Jumpstart,0.02,0.02,https://c1.scryfall.com/file/scryfall-cards/png/front/b/1/b1b959af-bb23-42e7-8848-7405ed597c8d.png?1632261909,-
Thriving Bluff,-,Land,-,"Thriving Bluff enters the battlefield tapped. As Thriving Bluff enters the battlefield, choose a color other than red. {T}: Add {R} or one mana of the chosen color.",Johannes Voss,Jumpstart,0.24,0.24,https://c1.scryfall.com/file/scryfall-cards/png/front/1/5/15481459-3703-4185-ad27-105d95691e9d.png?1632261913,-
Thriving Grove,-,Land,-,"Thriving Grove enters the battlefield tapped. As Thriving Grove enters the battlefield, choose a color other than green. {T}: Add {G} or one mana of the chosen color.",Ravenna Tran,Jumpstart,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/7/9/79cabbe0-1c44-4888-8ebc-25a4c3e2c5d7.png?1632261919,-
Thriving Heath,-,Land,-,"Thriving Heath enters the battlefield tapped. As Thriving Heath enters the battlefield, choose a color other than white. {T}: Add {W} or one mana of the chosen color.",Alayna Danner,Jumpstart,0.17,0.17,https://c1.scryfall.com/file/scryfall-cards/png/front/f/e/fe424eb3-7df8-4317-8776-6d960afbb90a.png?1632261923,-
Thriving Isle,-,Land,-,"Thriving Isle enters the battlefield tapped. As Thriving Isle enters the battlefield, choose a color other than blue. {T}: Add {U} or one mana of the chosen color.",Jonas De Ro,Jumpstart,0.19,0.19,https://c1.scryfall.com/file/scryfall-cards/png/front/7/e/7eb8fd94-2b59-4b05-b4d0-c93497301d19.png?1632261929,-
Thriving Moor,-,Land,-,"Thriving Moor enters the battlefield tapped. As Thriving Moor enters the battlefield, choose a color other than black. {T}: Add {B} or one mana of the chosen color.",Titus Lunter,Jumpstart,0.18,0.18,https://c1.scryfall.com/file/scryfall-cards/png/front/1/8/18756fe5-70f0-48d9-a4f1-ea78f77d2084.png?1632261934,-
Plains,-,Basic Land — Plains,-,({T}: Add {W}.),Jedd Chevrier,Jumpstart,0.24,0.24,https://c1.scryfall.com/file/scryfall-cards/png/front/2/7/27d283ba-9d88-45d2-80d3-7e4fffea6d22.png?1600716179,-
Plains,-,Basic Land — Plains,-,({T}: Add {W}.),Sung Choi,Jumpstart,0.08,0.08,https://c1.scryfall.com/file/scryfall-cards/png/front/2/b/2bcd008d-446e-41ba-a92e-871b9296fead.png?1600694484,-
Plains,-,Basic Land — Plains,-,({T}: Add {W}.),Piotr Dura,Jumpstart,0.18,0.18,https://c1.scryfall.com/file/scryfall-cards/png/front/7/5/75c3424f-0500-48ce-9779-b77e7763e253.png?1600694524,-
Plains,-,Basic Land — Plains,-,({T}: Add {W}.),Donato Giancola,Jumpstart,0.99,0.99,https://c1.scryfall.com/file/scryfall-cards/png/front/c/0/c0690e60-e11e-4903-b1e0-e36854213b65.png?1600694544,-
Plains,-,Basic Land — Plains,-,({T}: Add {W}.),Yeong-Hao Han,Jumpstart,0.27,0.27,https://c1.scryfall.com/file/scryfall-cards/png/front/9/9/999d82f8-6c64-4b6a-a8ac-fbc48dd1750c.png?1600715003,-
Plains,-,Basic Land — Plains,-,({T}: Add {W}.),Lius Lasahido,Jumpstart,0.13,0.13,https://c1.scryfall.com/file/scryfall-cards/png/front/a/3/a334360b-2943-4442-8557-e0a5efd272b7.png?1600694603,-
Plains,-,Basic Land — Plains,-,({T}: Add {W}.),Titus Lunter,Jumpstart,0.08,0.08,https://c1.scryfall.com/file/scryfall-cards/png/front/2/5/25d96d9e-c6c2-4c51-ac57-b63dee0cf27a.png?1600715024,-
Plains,-,Basic Land — Plains,-,({T}: Add {W}.),Johannes Voss,Jumpstart,2.61,2.61,https://c1.scryfall.com/file/scryfall-cards/png/front/e/f/efe75b38-c145-420e-9446-f2ac443ab3a5.png?1600694656,-
Island,-,Basic Land — Island,-,({T}: Add {U}.),Mauricio Calle,Jumpstart,0.2,0.2,https://c1.scryfall.com/file/scryfall-cards/png/front/c/4/c4a837f2-dbb0-435f-adf9-7632b97f94ab.png?1600694677,-
Island,-,Basic Land — Island,-,({T}: Add {U}.),Sung Choi,Jumpstart,0.07,0.07,https://c1.scryfall.com/file/scryfall-cards/png/front/7/6/76b4a655-0051-47c6-a683-c4c3f56e45fc.png?1600716214,-
Island,-,Basic Land — Island,-,({T}: Add {U}.),Piotr Dura,Jumpstart,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/6/a/6a3c7c06-76e4-487d-a63f-4aed3bbb4638.png?1600694738,-
Island,-,Basic Land — Island,-,({T}: Add {U}.),Piotr Dura,Jumpstart,0.1,0.1,https://c1.scryfall.com/file/scryfall-cards/png/front/5/c/5c7f7338-8edc-4579-b92f-86b02527682c.png?1600716239,-
Island,-,Basic Land — Island,-,({T}: Add {U}.),Piotr Dura,Jumpstart,1.17,1.17,https://c1.scryfall.com/file/scryfall-cards/png/front/e/d/ed351e4f-7ee7-4e84-a69d-02b59cebd180.png?1600694794,-
Island,-,Basic Land — Island,-,({T}: Add {U}.),Yeong-Hao Han,Jumpstart,0.11,0.11,https://c1.scryfall.com/file/scryfall-cards/png/front/e/6/e6cd2ccc-3148-4507-856d-55140c54d09d.png?1600694811,-
Island,-,Basic Land — Island,-,({T}: Add {U}.),Titus Lunter,Jumpstart,0.21,0.21,https://c1.scryfall.com/file/scryfall-cards/png/front/c/8/c8c61b0c-408a-4ba5-9a1c-5208b5f7f8d0.png?1600715076,-
Island,-,Basic Land — Island,-,({T}: Add {U}.),Adam Paquette,Jumpstart,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/b/5/b5a4dfac-2a47-48be-8611-d7f69e261c60.png?1600694877,-
Swamp,-,Basic Land — Swamp,-,({T}: Add {B}.),Jedd Chevrier,Jumpstart,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/0/6/06e0edda-1943-47a3-9ad3-673b38f42c86.png?1600694898,-
Swamp,-,Basic Land — Swamp,-,({T}: Add {B}.),Piotr Dura,Jumpstart,0.48,0.48,https://c1.scryfall.com/file/scryfall-cards/png/front/9/a/9a189653-dc0b-4b04-9544-5314cebf23fd.png?1600694922,-
Swamp,-,Basic Land — Swamp,-,({T}: Add {B}.),Lucas Graciano,Jumpstart,0.59,0.59,https://c1.scryfall.com/file/scryfall-cards/png/front/3/8/3810ec60-3f93-46c0-af39-7628b77bacec.png?1600715094,-
Swamp,-,Basic Land — Swamp,-,({T}: Add {B}.),Titus Lunter,Jumpstart,0.15,0.15,https://c1.scryfall.com/file/scryfall-cards/png/front/c/8/c8ea7816-e501-4384-9176-61819a1784f6.png?1600694987,-
|Ceghm.,|zOPEDtZFGK Ceghm.,({T}: Add {B}.),-,Jumpstart (JMP) #58,"Magic: The Gathering, MTG",Jumpstart,4.66,4.66,https://c1.scryfall.com/file/scryfall-cards/png/front/7/5/7577198f-8b2d-4cee-b400-ebab8fb0df8c.png?1600716414,-
Swamp,-,Basic Land — Swamp,-,({T}: Add {B}.),Adam Paquette,Jumpstart,0.4,0.4,https://c1.scryfall.com/file/scryfall-cards/png/front/0/0/00030770-5e99-4943-819d-8d807c24cc14.png?1600716281,-
Swamp,-,Basic Land — Swamp,-,({T}: Add {B}.),Ravenna Tran,Jumpstart,0.14,0.14,https://c1.scryfall.com/file/scryfall-cards/png/front/5/9/59e597d5-37e7-4add-b454-c3399b4e3704.png?1600716306,-
Swamp,-,Basic Land — Swamp,-,({T}: Add {B}.),Andreas Rocha,Jumpstart,0.33,0.33,https://c1.scryfall.com/file/scryfall-cards/png/front/8/5/85f7b339-cce2-421e-83b8-1764c53dee47.png?1600716446,-
Mountain,-,Basic Land — Mountain,-,({T}: Add {R}.),Jonas De Ro,Jumpstart,0.4,0.4,https://c1.scryfall.com/file/scryfall-cards/png/front/1/b/1b8d1535-68e7-4ca0-aa71-fc7fc63090fc.png?1600715178,-
Mountain,-,Basic Land — Mountain,-,({T}: Add {R}.),Jonas De Ro,Jumpstart,0.35,0.35,https://c1.scryfall.com/file/scryfall-cards/png/front/a/9/a92c5c74-d5b5-40bf-be86-39ac5e4c4f1a.png?1600715195,-
Mountain,-,Basic Land — Mountain,-,({T}: Add {R}.),Piotr Dura,Jumpstart,0.68,0.68,https://c1.scryfall.com/file/scryfall-cards/png/front/c/b/cb524a84-34a4-43bf-9872-b4a053a141b5.png?1600695218,-
Mountain,-,Basic Land — Mountain,-,({T}: Add {R}.),Ralph Horsley,Jumpstart,0.31,0.31,https://c1.scryfall.com/file/scryfall-cards/png/front/3/7/37d0d802-2bd2-444f-81e0-4cc2f8ece38f.png?1600716466,-
Mountain,-,Basic Land — Mountain,-,({T}: Add {R}.),Titus Lunter,Jumpstart,0.13,0.13,https://c1.scryfall.com/file/scryfall-cards/png/front/c/5/c55498ad-f474-4805-b9e9-592ec1c8a8e5.png?1600695282,-
Mountain,-,Basic Land — Mountain,-,({T}: Add {R}.),James Paick,Jumpstart,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/4/e/4e6bce91-f1e6-40d4-9ecc-cafa8d2586b6.png?1600695312,-
Mountain,-,Basic Land — Mountain,-,({T}: Add {R}.),Adam Paquette,Jumpstart,0.35,0.35,https://c1.scryfall.com/file/scryfall-cards/png/front/7/3/73c6382b-ceff-4092-9ec3-328cefab440e.png?1600695342,-
Mountain,-,Basic Land — Mountain,-,({T}: Add {R}.),Adam Paquette,Jumpstart,0.19,0.19,https://c1.scryfall.com/file/scryfall-cards/png/front/9/9/99c3decf-4a32-45ff-b7f6-ea2d52387c89.png?1600695371,-
Forest,-,Basic Land — Forest,-,({T}: Add {G}.),Cliff Childs,Jumpstart,0.25,0.25,https://c1.scryfall.com/file/scryfall-cards/png/front/a/6/a6712361-976a-4ef9-bae9-48505344904e.png?1600695391,-
Forest,-,Basic Land — Forest,-,({T}: Add {G}.),Alayna Danner,Jumpstart,0.22,0.22,https://c1.scryfall.com/file/scryfall-cards/png/front/8/8/88adbda4-7818-4888-a908-de6073bd0152.png?1600715233,-
Forest,-,Basic Land — Forest,-,({T}: Add {G}.),Alayna Danner,Jumpstart,0.09,0.09,https://c1.scryfall.com/file/scryfall-cards/png/front/0/1/01838859-51ef-474a-9653-23dd37eed1d6.png?1600695452,-
Forest,-,Basic Land — Forest,-,({T}: Add {G}.),Alayna Danner,Jumpstart,0.2,0.2,https://c1.scryfall.com/file/scryfall-cards/png/front/c/2/c2b534b1-2d78-4de3-afc8-8bdd6ee6da82.png?1600695477,-
Forest,-,Basic Land — Forest,-,({T}: Add {G}.),Alayna Danner,Jumpstart,0.37,0.37,https://c1.scryfall.com/file/scryfall-cards/png/front/e/a/ea556a69-c487-45ca-8f60-7e89407ec7b7.png?1600716528,-
Forest,-,Basic Land — Forest,-,({T}: Add {G}.),Tomasz Jedruszek,Jumpstart,0.46,0.46,https://c1.scryfall.com/file/scryfall-cards/png/front/3/0/30a4d3de-e004-4a15-9f45-4d50813de533.png?1600716490,-
Forest,-,Basic Land — Forest,-,({T}: Add {G}.),Adam Paquette,Jumpstart,0.2,0.2,https://c1.scryfall.com/file/scryfall-cards/png/front/b/5/b5b4e14a-ab24-4740-b727-165ee9d22e99.png?1600695578,-
Forest,-,Basic Land — Forest,-,({T}: Add {G}.),Johannes Voss,Jumpstart,0.32,0.32,https://c1.scryfall.com/file/scryfall-cards/png/front/9/c/9c301150-16a8-4ce3-818c-16d6fb0df1b7.png?1600695606,-
Terramorphic Expanse,-,Land,-,"{T}, Sacrifice Terramorphic Expanse: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",Andreas Rocha,Jumpstart,1.7,1.7,https://c1.scryfall.com/file/scryfall-cards/png/front/6/3/637ab0de-6691-4a45-95ac-9b75721c6c5a.png?1600715283,-
Aegis of the Heavens,{1}{W},Instant,-,Target creature gets +1/+7 until end of turn.,Anthony Palumbo,Jumpstart,0.12,0.12,https://c1.scryfall.com/file/scryfall-cards/png/front/a/9/a94f356d-4714-4500-8fb0-1ac68ec5c1cf.png?1600715302,-
Aerial Assault,{2}{W},Sorcery,-,Destroy target tapped creature. You gain 1 life for each creature you control with flying.,Dan Scott,Jumpstart,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/5/8/58e84a4a-034f-4f55-a827-e62f2b61f091.png?1600715319,-
Affa Guard Hound,{2}{W},Creature — Dog,2/2,"Flash (You may cast this spell any time you could cast an instant.) When Affa Guard Hound enters the battlefield, target creature gets +0/+3 until end of turn.",Ryan Pancoast,Jumpstart,0.04,0.04,https://c1.scryfall.com/file/scryfall-cards/png/front/f/7/f762546c-f5eb-420d-a8f7-c3566cd8f506.png?1600716563,-
Ajani's Chosen,{2}{W}{W},Creature — Cat Soldier,3/3,"Whenever an enchantment enters the battlefield under your control, create a 2/2 white Cat creature token. If that enchantment is an Aura, you may attach it to the token.",Wayne Reynolds,Jumpstart,0.37,0.37,https://c1.scryfall.com/file/scryfall-cards/png/front/8/e/8ea009c1-505e-4307-b8f3-2d37e36507a6.png?1600695778,-
